state,Pollster,Obama,McCain,middate,days.until
ME,Critical Insights-27,51,31,6/14/08,143
ME,Rasmussen-1,51,38,5/14/08,174
ME,Rasmussen-1,49,39,4/1/08,217
ME,SurveyUSA-3,53,39,2/27/08,251
ME,Election 2004-1,53,45,1/1/08,308
MD,Rasmussen-1,60,37,9/20/08,45
MD,ARG-3,54,39,9/18/08,47
MD,Gonzales Research-8,52,38,9/1/08,64
MD,Rasmussen-1,53,41,8/18/08,78
MD,SurveyUSA-3,53,40,2/27/08,251
MD,Gonzales Res.-8,51,37,2/26/08,252
MD,Election 2004-1,56,43,1/1/08,308
MA,SurveyUSA-2,56,39,10/27/08,8
MA,Suffolk U.-3,53,34,10/21/08,14
MA,SurveyUSA-2,59,35,10/13/08,22
MA,Rasmussen-1,62,34,10/13/08,22
MA,Rasmussen-1,58,38,9/23/08,42
MA,SurveyUSA-2,55,39,9/22/08,43
MA,ARG-3,55,39,9/21/08,44
MA,Rasmussen-1,51,36,8/5/08,91
MA,Suffolk U.-4,47,38,8/1/08,95
MA,Rasmussen-1,53,33,6/30/08,127
MA,SurveyUSA-3,53,40,6/26/08,131
MA,Suffolk U.-3,53,30,6/9/08,148
MA,Rasmussen-1,51,38,5/29/08,159
MA,SurveyUSA-3,46,41,5/17/08,171
MA,Rasmussen-1,51,39,4/23/08,195
MA,SurveyUSA-3,48,46,4/12/08,206
MA,Rasmussen-1,49,42,3/18/08,231
MA,SurveyUSA-3,47,47,3/15/08,234
MA,SurveyUSA-3,49,42,2/27/08,251
MA,SurveyUSA-3,48,46,2/16/08,262
MA,Election 2004-1,62,37,1/1/08,308
MI,Selzer-4,53,37,10/29/08,6
MI,Rasmussen-1,53,43,10/28/08,7
MI,EPIC-MRA-3,50,38,10/27/08,8
MI,EPIC-MRA-4,51,37,10/20/08,15
MI,U. of Wisconsin-4,58,36,10/20/08,15
MI,Quinnipiac U.-5,54,38,10/10/08,25
MI,Rasmussen-1,56,40,10/8/08,27
MI,Selzer-3,51,38,9/23/08,42
MI,Opinion Research-3,51,46,9/22/08,43
MI,Rasmussen-1,51,44,9/21/08,44
MI,EPIC-MRA-3,48,38,9/21/08,44
MI,Mason-Dixon-6,46,46,9/20/08,45
MI,Financial Dynamics-5,47,39,9/20/08,45
MI,ARG-4,48,46,9/17/08,48
MI,Quinnipiac U.-8,48,44,9/17/08,48
MI,Marketing Resource Grp.-5,43,46,9/17/08,48
MI,Marist Coll.-2,52,43,9/16/08,49
MI,EPIC-MRA-4,43,42,9/15/08,50
MI,U. of Wisconsin-4,48,44,9/15/08,50
MI,Rasmussen-1,51,46,9/10/08,55
MI,Insider Advantage-2,44,45,9/9/08,56
MI,Opinion Research-3,49,45,9/8/08,57
MI,EPIC-MRA-4,43,41,8/19/08,77
MI,Selzer-4,46,39,8/18/08,78
MI,Rasmussen-1,47,40,8/7/08,89
MI,Quinnipiac U.-9,46,42,7/18/08,109
MI,EPIC-MRA-4,43,41,7/14/08,113
MI,Rasmussen-1,50,42,7/10/08,117
MI,Quinnipiac U.-8,48,42,6/20/08,137
MI,Rasmussen-1,45,42,6/9/08,148
MI,SurveyUSA-2,37,41,5/27/08,161
MI,EPIC-MRA-4,40,44,5/20/08,168
MI,Rasmussen-1,44,45,5/8/08,180
MI,Rasmussen-1,44,45,5/7/08,181
MI,EPIC-MRA-6,43,41,4/5/08,213
MI,Rasmussen-1,42,43,3/25/08,224
MI,Rasmussen-1,41,44,3/10/08,239
MI,SurveyUSA-3,46,45,2/27/08,251
MI,Election 2004-1,51,48,1/1/08,308
MN,SurveyUSA-3,49,46,10/31/08,4
MN,Princeton Survey-3,53,42,10/30/08,5
MN,Rasmussen-1,55,43,10/28/08,7
MN,Research 2000-3,53,38,10/28/08,7
MN,Mason-Dixon-2,48,40,10/27/08,8
MN,U. of Minnesota-5,56,37,10/26/08,9
MN,Rasmussen-1,56,41,10/22/08,13
MN,U. of Wisconsin-4,57,38,10/20/08,15
MN,Financial Dynamics-5,50,40,10/18/08,17
MN,St. Cloud State U.-9,42,37,10/18/08,17
MN,SurveyUSA-3,50,44,10/17/08,18
MN,Princeton Survey-2,52,41,10/16/08,19
MN,Star Tribune-2,52,41,10/16/08,19
MN,Research 2000-2,52,39,10/15/08,20
MN,Quinnipiac U.-5,51,40,10/10/08,25
MN,Rasmussen-1,52,45,10/7/08,28
MN,SurveyUSA-2,49,47,10/6/08,29
MN,ARG-4,47,46,10/5/08,30
MN,U. of Minnesota-3,54,40,10/4/08,31
MN,Princeton Survey-3,55,37,10/1/08,34
MN,SurveyUSA-2,46,47,9/30/08,35
MN,Opinion Research-3,54,43,9/29/08,36
MN,ARG-3,48,47,9/19/08,46
MN,Rasmussen-1,52,44,9/18/08,47
MN,Quinnipiac U.-8,47,45,9/17/08,48
MN,U. of Wisconsin-4,47,45,9/15/08,50
MN,Princeton Survey-3,45,45,9/11/08,54
MN,SurveyUSA-2,49,47,9/10/08,55
MN,Opinion Research-3,53,41,9/1/08,64
MN,SurveyUSA-2,47,45,8/13/08,83
MN,Rasmussen-1,46,42,8/13/08,83
MN,U. of Minnesota-11,48,38,8/12/08,84
MN,Rasmussen-1,49,37,7/22/08,105
MN,Quinnipiac U.-9,46,44,7/18/08,109
MN,Rasmussen-1,52,34,7/10/08,117
MN,Quinnipiac U.-8,54,37,6/20/08,137
MN,SurveyUSA-4,47,46,6/14/08,143
MN,Rasmussen-1,52,39,6/11/08,146
MN,Rasmussen-1,53,38,5/22/08,166
MN,SurveyUSA-3,47,42,5/17/08,171
MN,Star Tribune-4,51,38,5/13/08,175
MN,Rasmussen-1,52,38,4/22/08,196
MN,SurveyUSA-3,49,43,4/12/08,206
MN,Rasmussen-1,47,43,3/19/08,230
MN,SurveyUSA-3,46,47,3/15/08,234
MN,SurveyUSA-3,49,42,2/27/08,251
MN,Rasmussen-1,53,38,2/16/08,262
MN,SurveyUSA-3,55,40,2/16/08,262
MN,Election 2004-1,51,48,1/1/08,308
MS,Research 2000-3,40,53,10/28/08,7
MS,Rasmussen-1,45,53,10/27/08,8
MS,U. of South Alabama-11,33,46,10/18/08,17
MS,USA Polling Group-11,33,46,10/18/08,17
MS,Research 2000-2,40,50,10/14/08,21
MS,Rasmussen-1,44,52,9/30/08,35
MS,ARG-4,39,55,9/14/08,51
MS,Research 2000-3,39,52,9/9/08,56
MS,Rasmussen-1,41,54,8/21/08,75
MS,Rasmussen-1,41,52,7/28/08,99
MS,Research 2000-3,42,51,7/22/08,105
MS,Rasmussen-1,44,50,6/24/08,133
MS,Rasmussen-1,44,50,5/27/08,161
MS,Research 2000-3,39,54,5/20/08,168
MS,SurveyUSA-3,41,54,2/27/08,251
MS,Election 2004-1,40,60,1/1/08,308
MO,Zogby-4,47,46,10/31/08,4
MO,Mason-Dixon-2,46,47,10/29/08,6
MO,Insider Advantage-1,47,50,10/29/08,6
MO,ARG-3,48,48,10/29/08,6
MO,Rasmussen-1,48,47,10/26/08,9
MO,SurveyUSA-2,48,48,10/25/08,10
MO,Opinion Research-6,48,50,10/25/08,10
MO,Zogby-4,48,46,10/24/08,11
MO,Mason-Dixon-2,45,46,10/22/08,13
MO,Research 2000-4,48,47,10/21/08,14
MO,Rasmussen-1,49,44,10/19/08,16
MO,Suffolk U.-3,44,45,10/18/08,17
MO,Rasmussen-1,52,46,10/15/08,20
MO,Opinion Research-4,48,49,10/12/08,23
MO,Rasmussen-1,50,47,10/12/08,23
MO,SurveyUSA-2,51,43,10/11/08,24
MO,Rasmussen-1,50,47,10/5/08,30
MO,ARG-3,46,49,10/5/08,30
MO,Opinion Research-3,49,48,9/29/08,36
MO,SurveyUSA-2,46,48,9/23/08,42
MO,Research 2000-3,46,47,9/23/08,42
MO,Research 2000-4,45,49,9/16/08,49
MO,ARG-5,45,50,9/13/08,52
MO,Rasmussen-1,46,51,9/11/08,54
MO,Opinion Research-3,45,50,9/8/08,57
MO,Rasmussen-1,41,48,8/7/08,89
MO,SurveyUSA-3,44,49,7/30/08,97
MO,Research 2000-4,48,43,7/8/08,119
MO,Rasmussen-1,42,47,7/7/08,120
MO,SurveyUSA-3,43,50,6/21/08,136
MO,Rasmussen-1,43,42,6/3/08,154
MO,SurveyUSA-3,45,43,5/17/08,171
MO,Rasmussen-1,41,47,5/6/08,182
MO,SurveyUSA-3,42,50,4/12/08,206
MO,Rasmussen-1,38,53,3/24/08,225
MO,SurveyUSA-3,39,53,3/15/08,234
MO,SurveyUSA-3,42,48,2/27/08,251
MO,SurveyUSA-3,49,43,2/16/08,262
MO,Rasmussen-1,40,42,2/12/08,266
MO,Election 2004-1,46,53,1/1/08,308
MT,Rasmussen-1,46,50,10/29/08,6
MT,Research 2000-3,44,48,10/29/08,6
MT,ARG-3,46,49,10/29/08,6
MT,Mason-Dixon-3,44,48,10/24/08,11
MT,Montana State U.-5,44,40,10/18/08,17
MT,Research 2000-2,45,49,10/15/08,20
MT,ARG-3,45,50,10/7/08,28
MT,Rasmussen-1,44,52,10/1/08,34
MT,Research 2000-3,39,52,9/23/08,42
MT,Opinion Research-3,43,54,9/22/08,43
MT,Rasmussen-1,42,53,9/8/08,57
MT,ARG-3,47,49,9/8/08,57
MT,Rasmussen-1,44,45,7/29/08,98
MT,Rasmussen-1,48,43,7/1/08,126
MT,Mason-Dixon-3,39,47,5/20/08,168
MT,Rasmussen-1,43,48,4/6/08,212
MT,SurveyUSA-3,39,47,2/27/08,251
MT,Election 2004-1,39,59,1/1/08,308
NE,Rasmussen-1,37,56,9/30/08,35
NE,ARG-6,34,60,9/14/08,51
NE,Rasmussen-1,32,50,7/28/08,99
NE,Rasmussen-1,36,52,6/23/08,134
NE,Research 2000-3,29,57,5/20/08,168
NE,SurveyUSA-3,40,49,5/17/08,171
NE,Rasmussen-1,39,50,5/15/08,173
NE,SurveyUSA-3,42,45,2/27/08,251
NE,Election 2004-1,32,67,1/1/08,308
NV,Zogby-4,51,43,10/31/08,4
NV,Mason-Dixon-2,47,43,10/28/08,7
NV,Rasmussen-1,50,46,10/27/08,8
NV,Research 2000-4,50,45,10/26/08,9
NV,Suffolk U.-1,50,40,10/26/08,9
NV,Opinion Research-6,52,45,10/25/08,10
NV,Zogby-4,48,44,10/24/08,11
NV,GfK Roper-4,52,40,10/24/08,11
NV,Opinion Research-3,51,46,10/20/08,15
NV,Insider Advantage-1,47,47,10/19/08,16
NV,Rasmussen-1,50,45,10/16/08,19
NV,Insider Advantage-1,49,46,10/13/08,22
NV,Mason-Dixon-2,47,45,10/8/08,27
NV,Insider Advantage-1,49,47,10/6/08,29
NV,Research 2000-4,50,43,10/4/08,31
NV,Rasmussen-1,51,47,10/2/08,33
NV,Insider Advantage-1,48,47,9/30/08,35
NV,Opinion Research-3,51,47,9/29/08,36
NV,ARG-3,47,49,9/28/08,37
NV,Suffolk U.-5,45,46,9/19/08,46
NV,ARG-3,46,49,9/13/08,52
NV,Rasmussen-1,46,49,9/11/08,54
NV,Insider Advantage-2,45,46,9/9/08,56
NV,Opinion Research-3,49,44,8/25/08,71
NV,Research 2000-3,44,43,8/19/08,77
NV,Mason-Dixon-3,39,46,8/14/08,82
NV,Rasmussen-1,42,45,8/11/08,85
NV,Rasmussen-1,42,40,7/16/08,111
NV,Rasmussen-1,42,45,6/18/08,139
NV,Mason-Dixon-3,42,44,6/10/08,147
NV,Rasmussen-1,40,46,5/20/08,168
NV,Rasmussen-1,43,48,4/21/08,197
NV,Rasmussen-1,45,41,3/19/08,230
NV,SurveyUSA-3,46,41,2/27/08,251
NV,Rasmussen-1,50,38,2/12/08,266
NV,Election 2004-1,48,51,1/1/08,308
NH,Rasmussen-1,50,46,10/30/08,5
NH,SurveyUSA-2,53,42,10/29/08,6
NH,Research 2000-3,51,44,10/29/08,6
NH,U. of New Hampshire-3,53,39,10/29/08,6
NH,ARG-3,56,41,10/29/08,6
NH,Suffolk U.-3,53,40,10/28/08,7
NH,U. of New Hampshire-3,58,33,10/26/08,9
NH,Mason-Dixon-3,50,39,10/24/08,11
NH,GfK Roper-5,55,37,10/24/08,11
NH,Rasmussen-1,50,46,10/23/08,12
NH,Marist Coll.-2,50,45,10/22/08,13
NH,U. of New Hampshire-5,54,39,10/20/08,15
NH,Research 2000-3,50,43,10/18/08,17
NH,ARG-3,52,43,10/7/08,28
NH,SurveyUSA-2,53,40,10/4/08,31
NH,Opinion Research-4,53,45,10/4/08,31
NH,Rasmussen-1,53,43,10/1/08,34
NH,Saint Anselm Coll.-6,49,37,9/27/08,38
NH,Rasmussen-1,47,49,9/23/08,42
NH,Research 2000-3,48,44,9/23/08,42
NH,Suffolk U.-5,46,45,9/22/08,43
NH,Financial Dynamics-5,44,43,9/20/08,45
NH,Marist Coll.-5,51,45,9/19/08,46
NH,U. of New Hampshire-8,45,47,9/17/08,48
NH,ARG-3,45,48,9/14/08,51
NH,Opinion Research-3,51,45,9/8/08,57
NH,Rasmussen-1,43,42,8/19/08,77
NH,ARG-3,46,45,8/19/08,77
NH,Rasmussen-1,47,41,7/23/08,104
NH,ARG-3,47,45,7/20/08,107
NH,U. of New Hampshire-10,46,43,7/15/08,112
NH,Rasmussen-1,50,39,6/18/08,139
NH,ARG-5,51,39,6/15/08,142
NH,Rasmussen-1,48,43,5/21/08,167
NH,Rasmussen-1,41,51,4/30/08,188
NH,Dartmouth Coll.-5,39,42,4/30/08,188
NH,U. of New Hampshire-6,43,49,4/27/08,191
NH,Rasmussen-1,43,46,3/16/08,233
NH,SurveyUSA-3,46,44,2/27/08,251
NH,Rasmussen-1,49,36,2/11/08,267
NH,Election 2004-1,50,49,1/1/08,308
NJ,SurveyUSA-2,52,42,10/29/08,6
NJ,Research 2000-3,54,38,10/27/08,8
NJ,Monmouth U.-7,55,34,10/27/08,8
NJ,Fairleigh Dickinson U.-7,53,35,10/26/08,9
NJ,Marist Coll.-2,56,39,10/20/08,15
NJ,Quinnipiac U.-4,59,36,10/17/08,18
NJ,Monmouth U.-4,55,38,10/16/08,19
NJ,SurveyUSA-2,55,40,10/11/08,24
NJ,Rasmussen-1,50,42,10/7/08,28
NJ,Fairleigh Dickinson U.-7,50,37,10/2/08,33
NJ,SurveyUSA-2,52,42,9/27/08,38
NJ,ARG-3,51,42,9/20/08,45
NJ,Rasmussen-1,55,42,9/16/08,49
NJ,Monmouth U.-4,49,41,9/12/08,53
NJ,Quinnipiac U.-5,48,45,9/12/08,53
NJ,Research 2000-3,50,41,9/10/08,55
NJ,Marist Coll.-4,48,45,9/6/08,59
NJ,Fairleigh Dickinson U.-4,47,41,9/5/08,60
NJ,Quinnipiac U.-7,51,41,8/7/08,89
NJ,Rasmussen-1,48,40,8/4/08,92
NJ,Monmouth U.-5,50,36,7/19/08,108
NJ,Rasmussen-31,44,39,6/22/08,135
NJ,Fairleigh Dickinson U.-7,49,33,6/20/08,137
NJ,Quinnipiac U.-4,45,39,6/6/08,151
NJ,Rasmussen-1,48,39,6/4/08,153
NJ,Research 2000-5,48,40,4/27/08,191
NJ,Monmouth U.-5,56,32,4/26/08,192
NJ,Rasmussen-1,45,46,3/27/08,222
NJ,Fairleigh Dickinson U.-7,47,42,3/27/08,222
NJ,Rasmussen-1,43,45,2/27/08,251
NJ,SurveyUSA-3,43,43,2/27/08,251
NJ,Fairleigh Dickinson U.-7,43,38,2/21/08,257
NJ,Quinnipiac U.-6,46,39,2/15/08,263
NJ,Election 2004-1,53,47,1/1/08,308
NM,SurveyUSA-3,52,45,10/30/08,5
NM,Research and Polling-3,51,43,10/29/08,6
NM,Rasmussen-1,54,44,10/28/08,7
NM,Rasmussen-1,55,42,10/13/08,22
NM,SurveyUSA-2,52,45,10/12/08,23
NM,Rasmussen-1,49,44,10/1/08,34
NM,Research and Polling-4,45,40,9/30/08,35
NM,SurveyUSA-2,52,44,9/29/08,36
NM,ARG-3,51,44,9/15/08,50
NM,SurveyUSA-3,52,44,9/15/08,50
NM,Financial Dynamics-5,49,42,9/13/08,52
NM,Rasmussen-1,47,49,9/8/08,57
NM,Opinion Research-3,53,40,8/25/08,71
NM,Rasmussen-1,47,41,8/20/08,76
NM,Mason-Dixon-3,41,45,8/14/08,82
NM,Rasmussen-1,46,41,7/24/08,103
NM,Rasmussen-1,47,39,6/18/08,139
NM,SurveyUSA-3,49,46,6/18/08,139
NM,SurveyUSA-3,44,44,5/17/08,171
NM,Rasmussen-1,50,41,5/14/08,174
NM,SurveyUSA-3,44,50,4/12/08,206
NM,Rasmussen-1,45,42,4/8/08,210
NM,SurveyUSA-3,51,45,3/15/08,234
NM,SurveyUSA-3,50,43,2/27/08,251
NM,Rasmussen-2,44,44,2/17/08,261
NM,SurveyUSA-3,55,40,2/16/08,262
NM,SurveyUSA-2,41,50,1/20/08,289
NM,Election 2004-1,49,50,1/1/08,308
NY,SurveyUSA-2,62,33,10/27/08,8
NY,Marist Coll.-2,65,29,10/21/08,14
NY,Siena Coll.-3,62,31,10/20/08,15
NY,Rasmussen-1,57,37,10/14/08,21
NY,SurveyUSA-2,64,31,10/11/08,24
NY,Siena Coll.-3,58,36,9/29/08,36
NY,SurveyUSA-2,57,38,9/23/08,42
NY,Rasmussen-1,55,42,9/15/08,50
NY,ARG-3,55,38,9/15/08,50
NY,Siena Coll.-3,46,41,9/9/08,56
NY,Siena Coll.-4,47,39,8/12/08,84
NY,Rasmussen-1,52,32,8/4/08,92
NY,Quinnipiac U.-5,57,36,8/2/08,94
NY,Siena Coll.-13,44,26,7/23/08,104
NY,Siena Coll.-4,50,37,7/8/08,119
NY,Rasmussen-1,60,29,6/30/08,127
NY,SurveyUSA-3,57,37,6/26/08,131
NY,Siena Coll.-3,51,33,6/10/08,147
NY,NY Times-6,51,32,6/8/08,149
NY,Quinnipiac U.-6,50,36,6/5/08,152
NY,Rasmussen-1,52,33,5/28/08,160
NY,SurveyUSA-3,48,38,5/17/08,171
NY,SurveyUSA-2,48,38,5/16/08,172
NY,Siena Coll.-3,49,38,5/13/08,175
NY,Rasmussen-1,52,35,5/1/08,187
NY,Quinnipiac U.-2,47,39,4/14/08,204
NY,Siena Coll.-4,45,40,4/14/08,204
NY,SurveyUSA-3,52,43,4/12/08,206
NY,Marist Coll.-6,46,48,4/5/08,213
NY,Quinnipiac U.-3,49,38,3/17/08,232
NY,SurveyUSA-3,52,44,3/15/08,234
NY,Rasmussen-1,51,38,3/11/08,238
NY,SurveyUSA-3,52,38,2/27/08,251
NY,SurveyUSA-3,57,36,2/16/08,262
NY,Siena Coll.-4,47,40,2/12/08,266
NY,SurveyUSA-2,49,43,1/20/08,289
NY,Siena Coll.-4,44,42,1/15/08,294
NY,Election 2004-1,58,41,1/1/08,308
NC,Zogby-4,48,49,10/31/08,4
NC,Mason-Dixon-2,46,49,10/29/08,6
NC,Insider Advantage-1,48,48,10/29/08,6
NC,Rasmussen-1,50,48,10/29/08,6
NC,Research 2000-3,47,45,10/29/08,6
NC,Elon U.-4,45,38,10/28/08,7
NC,Rasmussen-1,48,49,10/26/08,9
NC,Opinion Research-6,52,46,10/25/08,10
NC,Financial Dynamics-5,47,43,10/25/08,10
NC,Zogby-4,50,46,10/24/08,11
NC,GfK Roper-5,48,46,10/24/08,11
NC,Rasmussen-1,48,50,10/23/08,12
NC,Mason-Dixon-3,47,47,10/23/08,12
NC,Marshall Marketing-2,48,46,10/20/08,15
NC,Opinion Research-3,51,47,10/20/08,15
NC,Insider Advantage-1,49,48,10/19/08,16
NC,Rasmussen-1,51,48,10/19/08,16
NC,SurveyUSA-3,47,47,10/19/08,16
NC,Research 2000-2,46,44,10/14/08,21
NC,Insider Advantage-1,48,46,10/13/08,22
NC,Rasmussen-1,48,48,10/12/08,23
NC,Winthrop U.-22,45,44,10/8/08,27
NC,Rasmussen-1,49,48,10/8/08,27
NC,Marshall Marketing-2,46,48,10/6/08,29
NC,SurveyUSA-2,46,49,10/5/08,30
NC,Opinion Research-4,49,49,10/4/08,31
NC,Rasmussen-1,50,47,9/30/08,35
NC,ARG-3,46,49,9/28/08,37
NC,Rasmussen-1,49,47,9/23/08,42
NC,Rasmussen-1,47,50,9/18/08,47
NC,Elon U.-4,35,41,9/16/08,49
NC,Opinion Research-3,47,48,9/15/08,50
NC,ARG-4,41,52,9/14/08,51
NC,Research 2000-3,38,55,9/9/08,56
NC,SurveyUSA-3,38,58,9/7/08,58
NC,Insider Advantage-1,43,45,8/19/08,77
NC,Rasmussen-1,42,46,8/13/08,83
NC,SurveyUSA-3,45,49,8/10/08,86
NC,Rasmussen-1,42,45,7/15/08,112
NC,SurveyUSA-3,45,50,7/13/08,114
NC,Rasmussen-1,43,45,6/10/08,147
NC,SurveyUSA-3,43,51,5/18/08,170
NC,Rasmussen-1,45,48,5/8/08,180
NC,Research 2000-3,41,50,4/29/08,189
NC,Rasmussen-1,47,47,4/10/08,208
NC,Tel Opinion Research-2,39,48,4/9/08,209
NC,Rasmussen-1,42,51,3/20/08,229
NC,SurveyUSA-3,45,47,2/27/08,251
NC,Election 2004-1,44,56,1/1/08,308
ND,Research 2000-2,46,47,10/28/08,7
ND,Research 2000-2,45,45,10/14/08,21
ND,Minnesota State U.-3,45,43,10/7/08,28
ND,Research 2000-2,40,53,9/16/08,49
ND,ARG-3,43,52,9/16/08,49
ND,Rasmussen-1,41,55,9/8/08,57
ND,DFM Research-5,43,40,8/25/08,71
ND,Research 2000-3,42,45,7/22/08,105
ND,Rasmussen-1,43,43,7/8/08,119
ND,Dakota Wesleyan U.-11,38,44,3/29/08,220
ND,SurveyUSA-3,46,42,2/27/08,251
ND,Election 2004-1,36,63,1/1/08,308
OH,Zogby-4,50,44,10/31/08,4
OH,Mason-Dixon-2,45,47,10/29/08,6
OH,SurveyUSA-2,49,45,10/26/08,9
OH,Columbus Dispatch-10,52,46,10/26/08,9
OH,Rasmussen-1,49,45,10/26/08,9
